Account Link,Supplier,Account Number,Account Reference,Data Type,Proposed Location,Proposed Location Ref_No,Proposed Location Ref,Match Basis,Confidence
6402073,Ergon,A-9F0E2528_3036098256,,Electricity [kWh],RPQ Mackay Depot,L9.J.173130,173130,NMI 3036098256 matches account(s) already allocated to this location,High
6401367,Ergon,A-E566291E_3051641232,,Electricity [kWh],RPQ Townsville,L9.J.171235,171235,NMI 3051641232 matches account(s) already allocated to this location,High
6392736,FTC Finance Report,13000907_Oil & Lubes,13000907,Petroleum Based Oils Stationary [kL] - NC,Skilltech Management,L9.S.13000907,13000907,Existing account(s) with Location Account Ref 13000907 already allocated to this location,High
6392795,FTC Finance Report,14000945_Petrol,14000945,Petrol Transport post-2004 [L],SA Schools Roma Mitchell Overhead,L9.S.14000945,14000945,Existing account(s) with Location Account Ref 14000945 already allocated to this location,High
6392731,FTC Finance Report,14001923_E10 Petrol,14001923,Ethanol E10 Transport post-2004 [L],EMOS Transition,L9.S.14001923,14001923,Existing account(s) with Location Account Ref 14001923 already allocated to this location,High
6392796,FTC Finance Report,16011405_Petrol,16011405,Petrol Transport post-2004 [L],Townsville North Land,L9.S.16011405,16011405,Existing account(s) with Location Account Ref 16011405 already allocated to this location,High
6392797,FTC Finance Report,16011491_Petrol,16011491,Petrol Transport post-2004 [L],Shoalhaven  Range & Training,L9.S.16011491,16011491,Existing account(s) with Location Account Ref 16011491 already allocated to this location,High
6392798,FTC Finance Report,16011520_Petrol,16011520,Petrol Transport post-2004 [L],Kapooka Military Land,L9.S.16011520,16011520,Existing account(s) with Location Account Ref 16011520 already allocated to this location,High
6392799,FTC Finance Report,16012000_Petrol,16012000,Petrol Transport post-2004 [L],Melbourne City Council East ServDel,L9.S.16012000,16012000,Existing account(s) with Location Account Ref 16012000 already allocated to this location,High
6392800,FTC Finance Report,16012018_Petrol,16012018,Petrol Transport post-2004 [L],City of Yarra Streets Serv Del,L9.S.16012018,16012018,Existing account(s) with Location Account Ref 16012018 already allocated to this location,High
6392801,FTC Finance Report,16012225_Petrol,16012225,Petrol Transport post-2004 [L],Southbank Grounds Serv Del,L9.S.16012225,16012225,Existing account(s) with Location Account Ref 16012225 already allocated to this location,High
6392802,FTC Finance Report,16012376_Petrol,16012376,Petrol Transport post-2004 [L],NSW Sch#1 Ironbark Rdg PS Maint,L9.S.16012376,16012376,Existing account(s) with Location Account Ref 16012376 already allocated to this location,High
6392803,FTC Finance Report,16012378_Petrol,16012378,Petrol Transport post-2004 [L],NSW Sch#1 Woongarrah PS Maintenance,L9.S.16012378,16012378,Existing account(s) with Location Account Ref 16012378 already allocated to this location,High
6392804,FTC Finance Report,16012382_Petrol,16012382,Petrol Transport post-2004 [L],NSW Sch#1 JohnEdm HS Maintenance,L9.S.16012382,16012382,Existing account(s) with Location Account Ref 16012382 already allocated to this location,High
6392805,FTC Finance Report,16012385_Petrol,16012385,Petrol Transport post-2004 [L],NSW Sch#2 Warnervale PS Maintenance,L9.S.16012385,16012385,Existing account(s) with Location Account Ref 16012385 already allocated to this location,High
6392781,FTC Finance Report,16012387_E10 Petrol,16012387,Ethanol E10 Transport post-2004 [L],NSW Sch#2 RopesCross PS Maintenance,L9.S.16012387,16012387,Existing account(s) with Location Account Ref 16012387 already allocated to this location,High
6392806,FTC Finance Report,16012391_Petrol,16012391,Petrol Transport post-2004 [L],NSW Sch#2 Tullimbar PS Maintenance,L9.S.16012391,16012391,Existing account(s) with Location Account Ref 16012391 already allocated to this location,High
6392807,FTC Finance Report,16012393_Petrol,16012393,Petrol Transport post-2004 [L],NSW Sch#2 Elderslie PS Maintenance,L9.S.16012393,16012393,Existing account(s) with Location Account Ref 16012393 already allocated to this location,High
6392808,FTC Finance Report,16012397_Petrol,16012397,Petrol Transport post-2004 [L],NSW Sch#2 Rouse Hill HS Maintenance,L9.S.16012397,16012397,Existing account(s) with Location Account Ref 16012397 already allocated to this location,High
6392809,FTC Finance Report,16012399_Petrol,16012399,Petrol Transport post-2004 [L],NSW Sch#2 Kelso HS Maintenance,L9.S.16012399,16012399,Existing account(s) with Location Account Ref 16012399 already allocated to this location,High
6392810,FTC Finance Report,16012401_Petrol,16012401,Petrol Transport post-2004 [L],NSW Sch#2 Ashtonfield PS Maint,L9.S.16012401,16012401,Existing account(s) with Location Account Ref 16012401 already allocated to this location,High
6392811,FTC Finance Report,16012403_Petrol,16012403,Petrol Transport post-2004 [L],NSW Sch#2 Halinda SSP Maintenance,L9.S.16012403,16012403,Existing account(s) with Location Account Ref 16012403 already allocated to this location,High
6392812,FTC Finance Report,16012405_Petrol,16012405,Petrol Transport post-2004 [L],NSW Sch#2 Kariong Mtns HS Maint,L9.S.16012405,16012405,Existing account(s) with Location Account Ref 16012405 already allocated to this location,High
6392813,FTC Finance Report,16013532_Petrol,16013532,Petrol Transport post-2004 [L],VIC Sch Mernda Central P-6 Grounds,L9.S.16013532,16013532,Existing account(s) with Location Account Ref 16013532 already allocated to this location,High
6392814,FTC Finance Report,16013781_Petrol,16013781,Petrol Transport post-2004 [L],ANU - Maintenance SD,L9.S.16013781,16013781,Existing account(s) with Location Account Ref 16013781 already allocated to this location,High
6392815,FTC Finance Report,16016051_Petrol,16016051,Petrol Transport post-2004 [L],HCMT Train Pakenham East Depot,L9.S.16016051,16016051,Existing account(s) with Location Account Ref 16016051 already allocated to this location,High
6392782,FTC Finance Report,16017764_E10 Petrol,16017764,Ethanol E10 Transport post-2004 [L],PAS Brisbane EU- Prevent,L9.S.16017764,16017764,Existing account(s) with Location Account Ref 16017764 already allocated to this location,High
6392816,FTC Finance Report,16017764_Petrol,16017764,Petrol Transport post-2004 [L],PAS Brisbane EU- Prevent,L9.S.16017764,16017764,Existing account(s) with Location Account Ref 16017764 already allocated to this location,High
6392817,FTC Finance Report,16017768_Petrol,16017768,Petrol Transport post-2004 [L],PAS Brisbane Overhead,L9.S.16017768,16017768,Existing account(s) with Location Account Ref 16017768 already allocated to this location,High
6392713,FTC Finance Report,16017770_Petrol,16017770,Petrol Transport post-2004 [L],PAS Canungra EU- Prevent,L9.S.16017770,16017770,Existing account(s) with Location Account Ref 16017770 already allocated to this location,High
6398847,FTC Finance Report,16017771_Petrol,16017771,Petrol Transport post-2004 [L],PAS Canungra Land,L9.S.16017771,16017771,Existing account(s) with Location Account Ref 16017771 already allocated to this location,High
6392783,FTC Finance Report,16017785_E10 Petrol,16017785,Ethanol E10 Transport post-2004 [L],PAS Amberley EU- Prevent,L9.S.16017785,16017785,Existing account(s) with Location Account Ref 16017785 already allocated to this location,High
6392818,FTC Finance Report,16017785_Petrol,16017785,Petrol Transport post-2004 [L],PAS Amberley EU- Prevent,L9.S.16017785,16017785,Existing account(s) with Location Account Ref 16017785 already allocated to this location,High
6392784,FTC Finance Report,16017791_E10 Petrol,16017791,Ethanol E10 Transport post-2004 [L],PAS Darling Downs EU- Prevent,L9.S.16017791,16017791,Existing account(s) with Location Account Ref 16017791 already allocated to this location,High
6392819,FTC Finance Report,16017791_Petrol,16017791,Petrol Transport post-2004 [L],PAS Darling Downs EU- Prevent,L9.S.16017791,16017791,Existing account(s) with Location Account Ref 16017791 already allocated to this location,High
6392785,FTC Finance Report,16017806_E10 Petrol,16017806,Ethanol E10 Transport post-2004 [L],PAS BSC - Cairns EU- Prevent,L9.S.16017806,16017806,Existing account(s) with Location Account Ref 16017806 already allocated to this location,High
6392820,FTC Finance Report,16017806_Petrol,16017806,Petrol Transport post-2004 [L],PAS BSC - Cairns EU- Prevent,L9.S.16017806,16017806,Existing account(s) with Location Account Ref 16017806 already allocated to this location,High
6392786,FTC Finance Report,16017810_E10 Petrol,16017810,Ethanol E10 Transport post-2004 [L],PAS BSC - Cairns Overhead,L9.S.16017810,16017810,Existing account(s) with Location Account Ref 16017810 already allocated to this location,High
6392821,FTC Finance Report,16017812_Petrol,16017812,Petrol Transport post-2004 [L],PAS BSC - Towns N EU- Prevent,L9.S.16017812,16017812,Existing account(s) with Location Account Ref 16017812 already allocated to this location,High
6392787,FTC Finance Report,16017816_E10 Petrol,16017816,Ethanol E10 Transport post-2004 [L],PAS BSC - Towns N Overhead,L9.S.16017816,16017816,Existing account(s) with Location Account Ref 16017816 already allocated to this location,High
6392822,FTC Finance Report,16017816_Petrol,16017816,Petrol Transport post-2004 [L],PAS BSC - Towns N Overhead,L9.S.16017816,16017816,Existing account(s) with Location Account Ref 16017816 already allocated to this location,High
6392788,FTC Finance Report,16017827_E10 Petrol,16017827,Ethanol E10 Transport post-2004 [L],PAS BSC - TWS Sth EU- Prevent,L9.S.16017827,16017827,Existing account(s) with Location Account Ref 16017827 already allocated to this location,High
6392823,FTC Finance Report,16017827_Petrol,16017827,Petrol Transport post-2004 [L],PAS BSC - TWS Sth EU- Prevent,L9.S.16017827,16017827,Existing account(s) with Location Account Ref 16017827 already allocated to this location,High
6392716,FTC Finance Report,16017842_Petrol,16017842,Petrol Transport post-2004 [L],PAS QLD Management Ov,L9.S.16017842,16017842,Existing account(s) with Location Account Ref 16017842 already allocated to this location,High
6392717,FTC Finance Report,16017863_Petrol,16017863,Petrol Transport post-2004 [L],PAS Canberra Trng Bases Overhead,L9.S.16017863,16017863,Existing account(s) with Location Account Ref 16017863 already allocated to this location,High
6392824,FTC Finance Report,16017882_Petrol,16017882,Petrol Transport post-2004 [L],PAS Kapooka MA EU- Prevent,L9.S.16017882,16017882,Existing account(s) with Location Account Ref 16017882 already allocated to this location,High
6392825,FTC Finance Report,16017886_Petrol,16017886,Petrol Transport post-2004 [L],PAS Kapooka MA Overhead,L9.S.16017886,16017886,Existing account(s) with Location Account Ref 16017886 already allocated to this location,High
6392789,FTC Finance Report,16017902_E10 Petrol,16017902,Ethanol E10 Transport post-2004 [L],PAS Williamtown EU-Correc,L9.S.16017902,16017902,Existing account(s) with Location Account Ref 16017902 already allocated to this location,High
6392737,FTC Finance Report,16017902_Oil & Lubes,16017902,Petroleum Based Oils Stationary [kL] - NC,PAS Williamtown EU-Correc,L9.S.16017902,16017902,Existing account(s) with Location Account Ref 16017902 already allocated to this location,High
6392826,FTC Finance Report,16017902_Petrol,16017902,Petrol Transport post-2004 [L],PAS Williamtown EU-Correc,L9.S.16017902,16017902,Existing account(s) with Location Account Ref 16017902 already allocated to this location,High
6392790,FTC Finance Report,16017903_E10 Petrol,16017903,Ethanol E10 Transport post-2004 [L],PAS Williamtown EU-Prevent,L9.S.16017903,16017903,Existing account(s) with Location Account Ref 16017903 already allocated to this location,High
6392827,FTC Finance Report,16017903_Petrol,16017903,Petrol Transport post-2004 [L],PAS Williamtown EU-Prevent,L9.S.16017903,16017903,Existing account(s) with Location Account Ref 16017903 already allocated to this location,High
6392791,FTC Finance Report,16017906_E10 Petrol,16017906,Ethanol E10 Transport post-2004 [L],PAS Williamtown Overhead,L9.S.16017906,16017906,Existing account(s) with Location Account Ref 16017906 already allocated to this location,High
6392792,FTC Finance Report,16017908_E10 Petrol,16017908,Ethanol E10 Transport post-2004 [L],PAS Singleton EU- Prevent,L9.S.16017908,16017908,Existing account(s) with Location Account Ref 16017908 already allocated to this location,High
6398699,FTC Finance Report,16017909_Petrol,16017909,Petrol Transport post-2004 [L],PAS Singleton Land,L9.S.16017909,16017909,Existing account(s) with Location Account Ref 16017909 already allocated to this location,High
6392793,FTC Finance Report,16017922_E10 Petrol,16017922,Ethanol E10 Transport post-2004 [L],PAS Sydney & Metro Army EU-Prevent,L9.S.16017922,16017922,Existing account(s) with Location Account Ref 16017922 already allocated to this location,High
6392828,FTC Finance Report,16017922_Petrol,16017922,Petrol Transport post-2004 [L],PAS Sydney & Metro Army EU-Prevent,L9.S.16017922,16017922,Existing account(s) with Location Account Ref 16017922 already allocated to this location,High
6392732,FTC Finance Report,16017932_E10 Petrol,16017932,Ethanol E10 Transport post-2004 [L],PAS Fleet Base Estab Overhead,L9.S.16017932,16017932,Existing account(s) with Location Account Ref 16017932 already allocated to this location,High
6392734,FTC Finance Report,16017932_Petrol,16017932,Petrol Transport post-2004 [L],PAS Fleet Base Estab Overhead,L9.S.16017932,16017932,Existing account(s) with Location Account Ref 16017932 already allocated to this location,High
6392794,FTC Finance Report,16017943_E10 Petrol,16017943,Ethanol E10 Transport post-2004 [L],PAS Liverpool Mil Area EU- Prevent,L9.S.16017943,16017943,Existing account(s) with Location Account Ref 16017943 already allocated to this location,High
6392829,FTC Finance Report,16017943_Petrol,16017943,Petrol Transport post-2004 [L],PAS Liverpool Mil Area EU- Prevent,L9.S.16017943,16017943,Existing account(s) with Location Account Ref 16017943 already allocated to this location,High
6392733,FTC Finance Report,16017947_E10 Petrol,16017947,Ethanol E10 Transport post-2004 [L],PAS Liverpool Mil Area Overhead,L9.S.16017947,16017947,Existing account(s) with Location Account Ref 16017947 already allocated to this location,High
6392830,FTC Finance Report,16017947_Petrol,16017947,Petrol Transport post-2004 [L],PAS Liverpool Mil Area Overhead,L9.S.16017947,16017947,Existing account(s) with Location Account Ref 16017947 already allocated to this location,High
6392776,FTC Finance Report,16017951_Diesel,16017951,Diesel Transport post-2004 [L],PAS RAAF Richmond EU- Correc,L9.S.16017951,16017951,Existing account(s) with Location Account Ref 16017951 already allocated to this location,High
6392831,FTC Finance Report,16017952_Petrol,16017952,Petrol Transport post-2004 [L],PAS RAAF Richmond EU- Prevent,L9.S.16017952,16017952,Existing account(s) with Location Account Ref 16017952 already allocated to this location,High
6392777,FTC Finance Report,16017953_Diesel,16017953,Diesel Transport post-2004 [L],PAS RAAF Richmond Land,L9.S.16017953,16017953,Existing account(s) with Location Account Ref 16017953 already allocated to this location,High
6392778,FTC Finance Report,16017960_Diesel,16017960,Diesel Transport post-2004 [L],PAS Shoalhaven EU- Correc,L9.S.16017960,16017960,Existing VIVA diesel account 16017960 and Ampol oils account 16017960 are allocated to PAS Shoalhaven EU- Correc ('PAS Shoalhaven EU- Prevent' shares ref 16017960 but holds only the 16017961 petrol account),High
6392779,FTC Finance Report,16017962_Diesel,16017962,Diesel Transport post-2004 [L],PAS Shoalhaven Land,L9.S.16017962,16017962,Existing account(s) with Location Account Ref 16017962 already allocated to this location,High
6398848,FTC Finance Report,16017962_Petrol,16017962,Petrol Transport post-2004 [L],PAS Shoalhaven Land,L9.S.16017962,16017962,Existing account(s) with Location Account Ref 16017962 already allocated to this location,High
6392726,FTC Finance Report,16017964_Diesel,16017964,Diesel Transport post-2004 [L],PAS Shoalhaven Aero,L9.S.16017964,16017964,Existing account(s) with Location Account Ref 16017964 already allocated to this location,High
6392719,FTC Finance Report,16017965_Petrol,16017965,Petrol Transport post-2004 [L],PAS Shoalhaven Overhead,L9.S.16017965,16017965,Existing account(s) with Location Account Ref 16017965 already allocated to this location,High
6392727,FTC Finance Report,16017976_E10 Petrol,16017976,Ethanol E10 Transport post-2004 [L],PAS NSW Management,L9.S.16017976,16017976,Existing account(s) with Location Account Ref 16017976 already allocated to this location,High
6392720,FTC Finance Report,16017976_Petrol,16017976,Petrol Transport post-2004 [L],PAS NSW Management,L9.S.16017976,16017976,Existing account(s) with Location Account Ref 16017976 already allocated to this location,High
6392710,FTC Finance Report,16017981_Diesel,16017981,Diesel Transport post-2004 [L],PAS BSC - RCK TARM,L9.S.16017981,16017981,Existing account(s) with Location Account Ref 16017981 already allocated to this location,High
6392780,FTC Finance Report,16018034_Diesel,16018034,Diesel Transport post-2004 [L],Special Frces Training Fac-Holswrthy,L9.S.16018034,16018034,Existing account(s) with Location Account Ref 16018034 already allocated to this location,High
6398692,FTC Finance Report,170353_Oil & Lubes,170353,Petroleum Based Oils Stationary [kL] - NC,Vic Civil Works,L9.J.170353,170353,Existing account(s) with Location Account Ref 170353 already allocated to this location,High
6392730,FTC Finance Report,170770_Diesel,170770,Diesel Transport post-2004 [L],Townsville Spray Services,L9.J.170770,170770,Existing account(s) with Location Account Ref 170770 already allocated to this location,High
6398694,FTC Finance Report,170772_Diesel,170772,Diesel Transport post-2004 [L],Mackay Asp Laying,L9.J.170772,170772,Existing account(s) with Location Account Ref 170772 already allocated to this location,High
6398693,FTC Finance Report,170772_Oil & Lubes,170772,Petroleum Based Oils Stationary [kL] - NC,Mackay Asp Laying,L9.J.170772,170772,Existing account(s) with Location Account Ref 170772 already allocated to this location,High
6398695,FTC Finance Report,170777_Diesel,170777,Diesel Transport post-2004 [L],Metro Spray Services,L9.J.170777,170777,Existing account(s) with Location Account Ref 170777 already allocated to this location,High
6398696,FTC Finance Report,170778_Diesel,170778,Diesel Transport post-2004 [L],Dalby Spray Services,L9.J.170778,170778,Existing account(s) with Location Account Ref 170778 already allocated to this location,High
6398697,FTC Finance Report,170779_Diesel,170779,Diesel Transport post-2004 [L],Sunshine Coast Spray,L9.J.170779,170779,Existing account(s) with Location Account Ref 170779 already allocated to this location,High
6398845,FTC Finance Report,170782_Diesel,170782,Diesel Transport post-2004 [L],Grafton Spray Services,L9.J.170782,170782,Existing account(s) with Location Account Ref 170782 already allocated to this location,High
6392738,FTC Finance Report,170803_Oil & Lubes,170803,Petroleum Based Oils Stationary [kL] - NC,SPO-SI&CS,L9.J.170803,170803,Existing account(s) with Location Account Ref 170803 already allocated to this location,High
6398698,FTC Finance Report,170967_Diesel,170967,Diesel Transport post-2004 [L],Thin Surfacing BU Mgt,L9.J.170967,170967,Existing account(s) with Location Account Ref 170967 already allocated to this location,High
6398701,FTC Finance Report,241104_Petrol,241104,Petrol Transport post-2004 [L],Utilities Facility Nth Syd,L9.J.241104,241104,Existing account(s) with Location Account Ref 241104 already allocated to this location,High
6398702,FTC Finance Report,241301_Petrol,241301,Petrol Transport post-2004 [L],RPS - Finance,L9.J.241301,241301,Existing account(s) with Location Account Ref 241301 already allocated to this location,High
6392739,FTC Finance Report,241745_Oil & Lubes,241745,Petroleum Based Oils Stationary [kL] - NC,GSC Derrimut Support,L9.J.241745,241745,Existing account(s) with Location Account Ref 241745 already allocated to this location,High
6398703,FTC Finance Report,372003_Petrol,372003,Petrol Transport post-2004 [L],Plant West - DEP,L9.J.372003,372003,Existing account(s) with Location Account Ref 372003 already allocated to this location,High
6392728,FTC Finance Report,37740142_Petrol,37740142,Petrol Transport post-2004 [L],TLER Replacement,L9.J.37740142,37740142,Existing account(s) with Location Account Ref 37740142 already allocated to this location,High
6398846,FTC Finance Report,38225143_Diesel,38225143,Diesel Transport post-2004 [L],Vales Pt Elec Contract 2026,L9.J.38225143,38225143,Existing account(s) with Location Account Ref 38225143 already allocated to this location,High
6392832,FTC Finance Report,8000050_Petrol,8000050,Petrol Transport post-2004 [L],SSV General,L9.J.8000050,8000050,Existing account(s) with Location Account Ref 8000050 already allocated to this location,High
6402932,ShellEnergyAU,DEDI01_8000002117_8000002117,,Electricity [kWh],Asphalt Prod - Hobart (329),L9.J.17030565,17030565,NMI 8000002117 matches account(s) already allocated to this location,High
6402933,ShellEnergyAU,DEDI01_8000002963,,Electricity [kWh],Austins Ferry,L9.J.17030687,12,NMI 8000002963 matches account(s) already allocated to this location,High
6401538,Synergy,391978640_8001014340,,Electricity [kWh],WA Gov Housing - West Perth,L9.S.16013284,16013284,Same Synergy retailer account 391978640 already allocated there (existing record's NMI '80010143404' is an 11-digit typo of this 10-digit NMI 8001014340),High
6402112,Viva Energy,Diesel_2489625_Stationary,DFOA DOWNER EDI WKS-LISMORE GOONELLABAH,Diesel Stationary [L],Asphalt Prod - Lismore,L9.J.170425,170425,Viva ref 'DFOA DOWNER EDI WKS-LISMORE GOONELLABAH'; sibling Viva accounts 'DOWNER EDI WORKS-LISMORE...' (2449441/2449442) and BOC 'DOWNER EDI WORKS - GOONELLABAH' (100526213) are allocated to Asphalt Prod - Lismore (170425),High
6389201,BOC,100058677_LPG Stationary,SPOTLESS - A313/L321 RCHV BLD MGT S,Liquefied Petroleum Gas (LPG) Stationary [L],PPP - Royal Childrens Hospital,,9076,Ref 'SPOTLESS - A313/L321 RCHV BLD MGT S' = Spotless VIC PPP contract code (cf. A314/K887 Bendigo Hosp); RCHV = Royal Children's Hospital VIC building management. Location 9076 currently has no accounts,Medium
6392522,BOC,100458174_Acetylene,SPOTLESS- MAIN POOL,Other Gaseous Fossil Fuels [m3],Defence QLD,,9138,Ref 'SPOTLESS- MAIN POOL' pairs with allocated BOC 100458180 'SPOTLESS- HYDRO POOL' at Defence QLD (9138); adjacent BOC account numbers,Medium
6398700,FTC Finance Report,170944_Petrol,170944,Petrol Transport post-2004 [L],_CLOSED_REV_Binders and Circular Technology,L9.J.170944,BCT,"Job/cost-centre 170944 matches this location's ref in the location report — note: matched location's name is flagged '_CLOSED_REV', review whether an active successor location should be used",Medium
6323803,BOC,100017373_LPG Stationary,SPOTLESS - A201/1020 STKLD BATHURST,Liquefied Petroleum Gas (LPG) Stationary [L],,,,"Ref 'SPOTLESS - A201/1020 STKLD BATHURST' (Stockland Bathurst, NSW Spotless retail FM). No NSW retail FM location exists in the location report (only 'FM - Retail - VIC'). Account replaced 30 Nov 2024",Unresolved
6392215,BOC,100058564_Acetylene,DOWNER SITE OFFICES,Other Gaseous Fossil Fuels [m3],,,,Ref 'DOWNER SITE OFFICES' too generic to identify a site,Unresolved
6286807,BOC,100480339_Acetylene,DOWNER EDI ENGINEERING GIDGEALPA,Other Gaseous Fossil Fuels [m3],,,,"Ref 'DOWNER EDI ENGINEERING GIDGEALPA' (Gidgealpa gas field, SA — Santos works). No Gidgealpa/Moomba location in the location report; closest business context is Santos EU works",Unresolved
6286122,BOC,100480339_LPG Stationary,DOWNER EDI ENGINEERING GIDGEALPA,Liquefied Petroleum Gas (LPG) Stationary [L],,,,"Ref 'DOWNER EDI ENGINEERING GIDGEALPA' (Gidgealpa gas field, SA — Santos works). No Gidgealpa/Moomba location in the location report; closest business context is Santos EU works",Unresolved
6397604,BOC,100574884_Acetylene,DOWNER T&I NORTH AKLD CONSTRN,Other Gaseous Fossil Fuels [m3],,,,"Ref 'DOWNER T&I NORTH AKLD CONSTRN' (NZ T&I North Auckland construction). Several plausible NZ locations (e.g. 'Auckland & Northland-Overhead', 'People Construction Akld') but none identifiable with confidence",Unresolved
6402072,BOC,100588541_Acetylene,DOWNER EDI WORKS MACKEY,Other Gaseous Fossil Fuels [m3],,,,"Ref 'DOWNER EDI WORKS MACKEY' — no 'Mackey' location/address found; possibly Mackey St North Geelong or a misspelling of Mackay. Multiple candidates, none confirmable",Unresolved
